INFO 2024-08-30 17:54:24,020 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-30 17:54:24,223 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1723813826.4146986
DEBUG 2024-08-30 17:54:24,223 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\files\temp.py first seen with mtime 1723813828.9292808
DEBUG 2024-08-30 17:54:24,223 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\http\cookie.py first seen with mtime 1723813829.100221
DEBUG 2024-08-30 17:54:24,223 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1723813828.9737928
DEBUG 2024-08-30 17:54:24,223 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\zoneinfo\_common.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,223 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\asgiref\__init__.py first seen with mtime 1723813826.7210827
DEBUG 2024-08-30 17:54:24,224 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1723813828.9747925
DEBUG 2024-08-30 17:54:24,224 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\exceptions.py first seen with mtime 1723813828.9082823
DEBUG 2024-08-30 17:54:24,224 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\utils\dates.py first seen with mtime 1723813829.1452198
DEBUG 2024-08-30 17:54:24,224 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\template\backends\django.py first seen with mtime 1723813829.1172166
DEBUG 2024-08-30 17:54:24,224 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1723813828.912281
DEBUG 2024-08-30 17:54:24,225 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\apps\__init__.py first seen with mtime 1723813826.8535924
DEBUG 2024-08-30 17:54:24,225 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1723813828.9342766
DEBUG 2024-08-30 17:54:24,225 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\concurrent\__init__.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,225 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\keyword.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,225 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1723813829.1522188
DEBUG 2024-08-30 17:54:24,226 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1723813828.6207626
DEBUG 2024-08-30 17:54:24,226 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\paginator.py first seen with mtime 1723813828.9092813
DEBUG 2024-08-30 17:54:24,226 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\email\header.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,226 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1723813828.938277
DEBUG 2024-08-30 17:54:24,227 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\queue.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,227 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\token.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,227 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\template\utils.py first seen with mtime 1723813829.1162174
DEBUG 2024-08-30 17:54:24,227 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\email\contentmanager.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,227 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\templatetags\static.py first seen with mtime 1723813829.1272159
DEBUG 2024-08-30 17:54:24,228 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\utils\timezone.py first seen with mtime 1723813829.1587315
DEBUG 2024-08-30 17:54:24,228 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1723813829.1777277
DEBUG 2024-08-30 17:54:24,228 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\db\migrations\operations\models.py first seen with mtime 1723813829.0147858
DEBUG 2024-08-30 17:54:24,228 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\files\locks.py first seen with mtime 1723813828.928281
DEBUG 2024-08-30 17:54:24,229 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\asyncio\selector_events.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,229 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\template\__init__.py first seen with mtime 1723813829.1092186
DEBUG 2024-08-30 17:54:24,229 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\urls\conf.py first seen with mtime 1723813829.1352153
DEBUG 2024-08-30 17:54:24,229 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\weakref.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,230 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1723813828.9192815
DEBUG 2024-08-30 17:54:24,230 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\mimetypes.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,230 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\string.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,230 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\asyncio\queues.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,231 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1723813828.9332774
DEBUG 2024-08-30 17:54:24,231 autoreload File C:\Users\yannb\Desktop\Notre_Livre__Notre_Media\mediatheque\membres\urls.py first seen with mtime 1725032073.1882036
DEBUG 2024-08-30 17:54:24,231 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\db\models\query.py first seen with mtime 1723813829.0237856
DEBUG 2024-08-30 17:54:24,231 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1723813828.9372773
DEBUG 2024-08-30 17:54:24,232 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\zoneinfo\__init__.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,232 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1723813827.4660525
DEBUG 2024-08-30 17:54:24,232 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\views\i18n.py first seen with mtime 1723813829.1677303
DEBUG 2024-08-30 17:54:24,232 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1723813829.1062188
DEBUG 2024-08-30 17:54:24,232 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\email\mime\__init__.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,233 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\__init__.py first seen with mtime 1723813826.851594
DEBUG 2024-08-30 17:54:24,233 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\email\mime\text.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,233 autoreload File C:\Users\yannb\Desktop\Notre_Livre__Notre_Media\mediatheque\membres\apps.py first seen with mtime 1724340982.7424824
DEBUG 2024-08-30 17:54:24,233 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\DLLs\select.pyd first seen with mtime 1717696502.0
DEBUG 2024-08-30 17:54:24,233 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\utils\tree.py first seen with mtime 1723813829.1587315
DEBUG 2024-08-30 17:54:24,234 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1723813828.9212792
DEBUG 2024-08-30 17:54:24,234 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\contrib\admin\checks.py first seen with mtime 1723813827.0836236
DEBUG 2024-08-30 17:54:24,234 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\utils\duration.py first seen with mtime 1723813829.1472187
DEBUG 2024-08-30 17:54:24,234 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\DLLs\_decimal.pyd first seen with mtime 1717696502.0
DEBUG 2024-08-30 17:54:24,234 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\forms\utils.py first seen with mtime 1723813829.050786
DEBUG 2024-08-30 17:54:24,235 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\numbers.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,235 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\contextlib.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,235 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\contrib\admin\options.py first seen with mtime 1723813827.0906203
DEBUG 2024-08-30 17:54:24,235 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1723813828.9022813
DEBUG 2024-08-30 17:54:24,236 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1723813829.1647305
DEBUG 2024-08-30 17:54:24,236 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\files\base.py first seen with mtime 1723813828.9272785
DEBUG 2024-08-30 17:54:24,236 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\encodings\cp1252.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,236 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1723813828.9707932
DEBUG 2024-08-30 17:54:24,236 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1723813828.92228
DEBUG 2024-08-30 17:54:24,237 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1723813828.8972826
DEBUG 2024-08-30 17:54:24,237 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\DLLs\_ssl.pyd first seen with mtime 1717696502.0
DEBUG 2024-08-30 17:54:24,237 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1723813829.0327842
DEBUG 2024-08-30 17:54:24,237 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1723813829.1617315
DEBUG 2024-08-30 17:54:24,237 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\html\parser.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,237 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\json\scanner.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,238 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\apps\config.py first seen with mtime 1723813826.8540974
DEBUG 2024-08-30 17:54:24,238 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1723813827.0886216
DEBUG 2024-08-30 17:54:24,238 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\enum.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,238 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\gzip.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,239 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\types.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,239 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\quopri.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,239 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\threading.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,239 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\views\csrf.py first seen with mtime 1723813829.1657312
DEBUG 2024-08-30 17:54:24,239 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\json\decoder.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,240 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\collections\__init__.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,240 autoreload File C:\Users\yannb\Desktop\Notre_Livre__Notre_Media\mediatheque\mediatheque\urls.py first seen with mtime 1725030672.3924792
DEBUG 2024-08-30 17:54:24,240 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\files\move.py first seen with mtime 1723813828.9292808
DEBUG 2024-08-30 17:54:24,240 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1723813828.9012823
DEBUG 2024-08-30 17:54:24,240 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1723813829.0447881
DEBUG 2024-08-30 17:54:24,241 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\utils\http.py first seen with mtime 1723813829.1512184
DEBUG 2024-08-30 17:54:24,241 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1723813827.4660525
DEBUG 2024-08-30 17:54:24,241 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\utils\crypto.py first seen with mtime 1723813829.1432197
DEBUG 2024-08-30 17:54:24,241 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\DLLs\_socket.pyd first seen with mtime 1717696502.0
DEBUG 2024-08-30 17:54:24,241 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1723813827.7675653
DEBUG 2024-08-30 17:54:24,242 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1723813829.1557317
